date,revenue,expenses,profit,tax,net_profit,department,quarter,year
2023-01-15,125000.50,85000.25,40000.25,10000.06,30000.19,Sales,Q1,2023
2023-01-30,118500.75,79500.50,39000.25,9750.06,29250.19,Marketing,Q1,2023
2023-02-15,132000.25,88000.75,44000.50,11000.13,33000.38,Sales,Q1,2023
2023-02-28,127500.50,86500.25,41000.25,10250.06,30750.19,Operations,Q1,2023
2023-03-15,142000.75,92000.50,50000.25,12500.06,37500.19,Sales,Q1,2023
2023-03-30,135000.25,87000.75,48000.50,12000.13,36000.38,Marketing,Q1,2023
2023-04-15,155000.50,98000.25,57000.25,14250.06,42750.19,Sales,Q2,2023
2023-04-30,148500.75,94500.50,54000.25,13500.06,40500.19,Operations,Q2,2023
2023-05-15,162000.25,102000.75,60000.50,15000.13,45000.38,Sales,Q2,2023
2023-05-30,157500.50,99500.25,58000.25,14500.06,43500.19,Marketing,Q2,2023
